DeviceID,Challenge,Response
Device_01,10001101,0
Device_01,00111111,1
Device_01,01111101,0
Device_01,11001011,0
Device_01,00001001,1
Device_01,00110111,1
Device_01,01001100,0
Device_01,11011001,1
Device_01,00101111,1
Device_01,01011111,1
Device_01,11110100,1
Device_01,11011111,1
Device_01,00011011,1
Device_01,11011110,0
Device_01,11110111,0
Device_01,11000001,0
Device_01,00100110,0
Device_01,01011000,0
Device_01,00100110,1
Device_01,00101110,1
Device_01,11010010,1
Device_01,01000110,0
Device_01,00100111,1
Device_01,11011101,0
Device_01,11011110,0
Device_01,11000110,0
Device_01,01110000,1
Device_01,10100101,0
Device_01,00101110,1
Device_01,01001011,0
Device_01,01011010,0
Device_01,01111111,1
Device_01,10101011,1
Device_01,01100111,0
Device_01,10111111,1
Device_01,00011101,0
Device_01,11011100,0
Device_01,01011100,0
Device_01,10000101,0
Device_01,11111001,0
Device_01,00001111,1
Device_01,01110010,0
Device_01,00011101,1
Device_01,10101011,0
Device_01,11110011,1
Device_01,00101101,0
Device_01,10101110,1
Device_01,00110111,0
Device_01,00100111,1
Device_01,10010000,1
Device_01,10001100,1
Device_01,01111100,1
Device_01,00010101,1
Device_01,10111011,1
Device_01,11110000,1
Device_01,11111010,0
Device_01,10010011,0
Device_01,01111101,1
Device_01,00010010,0
Device_01,00100011,1
Device_01,11100100,1
Device_01,11001000,1
Device_01,10001101,0
Device_01,10101010,0
Device_01,10011100,0
Device_01,10011010,0
Device_01,10001100,0
Device_01,11000000,1
Device_01,11001010,0
Device_01,01100100,0
Device_01,10000110,1
Device_01,01101100,0
Device_01,11110110,0
Device_01,01111001,1
Device_01,10111100,0
Device_01,10001000,1
Device_01,11110000,0
Device_01,00101111,0
Device_01,00011000,0
Device_01,00000110,1
Device_01,00000000,1
Device_01,00100010,0
Device_01,11011101,0
Device_01,10000111,0
Device_01,10000011,1
Device_01,10010011,1
Device_01,11111001,1
Device_01,01110010,1
Device_01,00011110,1
Device_01,01100110,1
Device_01,11000011,1
Device_01,10100111,0
Device_01,11110011,1
Device_01,00100001,0
Device_01,00111000,0
Device_01,11100011,1
Device_01,00101111,1
Device_01,10101110,1
Device_01,00110011,0
Device_01,11001111,0
Device_01,10000001,0
Device_01,00011110,1
Device_01,10100010,0
Device_01,00010000,1
Device_01,10101010,1
Device_01,01100000,1
Device_01,10111011,0
Device_01,01001110,1
Device_01,11100000,1
Device_01,10001110,1
Device_01,11110111,1
Device_01,11111100,1
Device_01,10001010,0
Device_01,01010010,0
Device_01,00000000,1
Device_01,00101000,1
Device_01,00001111,0
Device_01,11101001,0
Device_01,01110110,1
Device_01,10100011,0
Device_01,01001011,1
Device_01,01010111,1
Device_01,10110100,1
Device_01,11101100,1
Device_01,00100100,0
Device_01,11100110,0
Device_01,00110001,1
Device_01,11011111,0
Device_01,10010111,0
Device_01,00100000,1
Device_01,10100111,1
Device_01,10110001,1
Device_01,10111101,1
Device_01,01110110,0
Device_01,11001110,0
Device_01,11010101,0
Device_01,11111010,1
Device_01,00111001,0
Device_01,01110110,1
Device_01,00001001,0
Device_01,00110001,1
Device_01,10101100,0
Device_01,00011100,0
Device_01,01101111,1
Device_01,01000000,0
Device_01,11011100,0
Device_01,10110110,1
Device_01,10101111,1
Device_01,11011100,0
Device_01,10001110,0
Device_01,11111001,1
Device_01,10100010,1
Device_01,01000001,0
Device_01,01111011,0
Device_01,11010011,1
Device_01,10011000,0
Device_01,01001100,1
Device_01,00101110,1
Device_01,10011100,1
Device_01,10101011,0
Device_01,00111110,0
Device_01,10010111,0
Device_01,10101100,1
Device_01,10100100,0
Device_01,10001011,1
Device_01,00011100,0
Device_01,10010000,0
Device_01,00001111,1
Device_01,10101000,1
Device_01,10000010,0
Device_01,11110010,1
Device_01,01110111,0
Device_01,10110010,0
Device_01,00111010,1
Device_01,10111010,1
Device_01,10101111,0
Device_01,00001110,1
Device_01,00000110,1
Device_01,01100100,0
